datetime;covid_cases;covid_hospital;covid_deaths
2021/06/16 00:00:00+00;88608;1951;812
2021/06/17 00:00:00+00;88666;1952;813
2021/06/18 00:00:00+00;88726;1953;813
2021/06/19 00:00:00+00;88775;1955;814
2021/06/20 00:00:00+00;88820;1957;814
2021/06/21 00:00:00+00;88853;1959;814
2021/06/22 00:00:00+00;88904;1959;814
2021/06/23 00:00:00+00;88934;1959;814
2021/06/24 00:00:00+00;88979;1959;814
2021/06/25 00:00:00+00;89024;1959;814
2021/06/26 00:00:00+00;89057;1959;814
2021/06/27 00:00:00+00;89084;1959;814
2021/06/28 00:00:00+00;89124;1959;814
2021/06/29 00:00:00+00;89166;1959;815
2021/06/30 00:00:00+00;89217;1959;815
2021/07/01 00:00:00+00;89284;1959;815
2021/07/02 00:00:00+00;89391;1959;816
2021/07/03 00:00:00+00;89479;1960;816
2021/07/04 00:00:00+00;89641;1960;816
2021/07/05 00:00:00+00;89885;1960;816
2021/07/06 00:00:00+00;90154;1960;816
2021/07/07 00:00:00+00;90636;1960;816
2021/07/08 00:00:00+00;91368;1960;817
2021/07/09 00:00:00+00;92166;1962;817
2021/07/10 00:00:00+00;93063;1963;817
2021/07/11 00:00:00+00;94402;1965;817
2021/07/12 00:00:00+00;95561;1966;817
2021/07/13 00:00:00+00;96569;1966;817
2021/07/14 00:00:00+00;97784;1967;817
2021/07/15 00:00:00+00;99061;1970;817
2021/07/16 00:00:00+00;100183;1970;817
2021/07/17 00:00:00+00;101309;1973;817
2021/07/18 00:00:00+00;102329;1975;818
2021/07/19 00:00:00+00;102917;1977;818
2021/07/20 00:00:00+00;103499;1980;818
2021/07/21 00:00:00+00;104054;1981;818
2021/07/22 00:00:00+00;104521;1982;818
2021/07/23 00:00:00+00;104988;1985;818
2021/07/24 00:00:00+00;105346;1987;818
2021/07/25 00:00:00+00;105667;1990;819
2021/07/26 00:00:00+00;105954;1992;819
2021/07/27 00:00:00+00;106256;1997;819
2021/07/28 00:00:00+00;106491;2001;822
2021/07/29 00:00:00+00;106852;2007;823
2021/07/30 00:00:00+00;107075;2010;823
2021/07/31 00:00:00+00;107288;2018;823
2021/08/01 00:00:00+00;107486;2023;823
2021/08/02 00:00:00+00;107600;2027;823
2021/08/03 00:00:00+00;107764;2034;823
2021/08/04 00:00:00+00;108002;2041;823
2021/08/05 00:00:00+00;108273;2043;824
2021/08/06 00:00:00+00;108516;2046;826
2021/08/07 00:00:00+00;108703;2050;828
2021/08/08 00:00:00+00;108931;2051;829
2021/08/09 00:00:00+00;109095;2053;829
2021/08/10 00:00:00+00;109238;2054;829
2021/08/11 00:00:00+00;109428;2059;830
2021/08/12 00:00:00+00;109624;2062;830
2021/08/13 00:00:00+00;109824;2065;830
2021/08/14 00:00:00+00;110046;2066;830
2021/08/15 00:00:00+00;110268;2069;830
2021/08/16 00:00:00+00;110466;2071;831
2021/08/17 00:00:00+00;110676;2074;832
2021/08/18 00:00:00+00;110912;2078;833
2021/08/19 00:00:00+00;111113;2082;834
2021/08/20 00:00:00+00;111330;2084;835
2021/08/21 00:00:00+00;111575;2090;838
2021/08/22 00:00:00+00;111801;2093;839
2021/08/23 00:00:00+00;112016;2097;839
2021/08/24 00:00:00+00;112242;2102;840
2021/08/25 00:00:00+00;112459;2106;840
2021/08/26 00:00:00+00;112613;2110;843
2021/08/27 00:00:00+00;112935;2114;844
2021/08/28 00:00:00+00;113083;2118;844
2021/08/29 00:00:00+00;113275;2120;845
2021/08/30 00:00:00+00;113458;2126;846
2021/08/31 00:00:00+00;113626;2131;848
2021/09/01 00:00:00+00;113814;2132;849
2021/09/02 00:00:00+00;113990;2134;849
2021/09/03 00:00:00+00;114185;2137;851
2021/09/04 00:00:00+00;114398;2140;851
2021/09/05 00:00:00+00;114604;2142;851
2021/09/06 00:00:00+00;114730;2146;851
2021/09/07 00:00:00+00;114974;2149;851
2021/09/08 00:00:00+00;115177;2149;853
2021/09/09 00:00:00+00;115390;2152;853
2021/09/10 00:00:00+00;115554;2159;853
2021/09/11 00:00:00+00;115715;2159;853
2021/09/12 00:00:00+00;115891;2160;853
2021/09/13 00:00:00+00;116012;2162;853
2021/09/14 00:00:00+00;116144;2162;854
2021/09/15 00:00:00+00;116310;2163;854
2021/09/16 00:00:00+00;116429;2165;854
2021/09/17 00:00:00+00;116542;2165;854
2021/09/18 00:00:00+00;116661;2166;854
2021/09/19 00:00:00+00;116747;2167;854
2021/09/20 00:00:00+00;116822;2168;854
2021/09/21 00:00:00+00;116905;2168;854
2021/09/22 00:00:00+00;116976;2172;854
2021/09/23 00:00:00+00;117063;2174;855
2021/09/24 00:00:00+00;117167;2175;856
2021/09/25 00:00:00+00;117233;2175;856
2021/09/26 00:00:00+00;117281;2175;856
2021/09/27 00:00:00+00;117339;2175;857
2021/09/28 00:00:00+00;117430;2175;857
2021/09/29 00:00:00+00;117515;2175;857
2021/09/30 00:00:00+00;117575;2175;857
2021/10/01 00:00:00+00;117646;2175;857
2021/10/02 00:00:00+00;117734;2175;857
2021/10/03 00:00:00+00;117807;2176;858
2021/10/04 00:00:00+00;117893;2177;858
2021/10/05 00:00:00+00;117969;2177;858
2021/10/06 00:00:00+00;118035;2177;858
2021/10/07 00:00:00+00;118183;2177;858
2021/10/08 00:00:00+00;118301;2177;858
2021/10/09 00:00:00+00;118400;2178;859
2021/10/10 00:00:00+00;118514;2179;859
2021/10/11 00:00:00+00;118586;2179;859
2021/10/12 00:00:00+00;118700;2179;859
2021/10/13 00:00:00+00;118846;2179;861
2021/10/14 00:00:00+00;118923;2181;861
2021/10/15 00:00:00+00;119103;2182;864
2021/10/16 00:00:00+00;119221;2184;865
2021/10/17 00:00:00+00;119392;2186;865
2021/10/18 00:00:00+00;119516;2188;865
2021/10/19 00:00:00+00;119668;2189;865
2021/10/20 00:00:00+00;119876;2191;865
2021/10/21 00:00:00+00;120071;2194;865
2021/10/22 00:00:00+00;120327;2195;865
2021/10/23 00:00:00+00;120612;2196;865
2021/10/24 00:00:00+00;120871;2197;865
2021/10/25 00:00:00+00;121106;2197;866
2021/10/26 00:00:00+00;121359;2198;867
2021/10/27 00:00:00+00;121701;2201;867
2021/10/28 00:00:00+00;121913;2202;867
2021/10/29 00:00:00+00;122165;2204;868
2021/10/30 00:00:00+00;122487;2207;869
2021/10/31 00:00:00+00;122846;2208;869
2021/11/01 00:00:00+00;123062;2214;869
2021/11/02 00:00:00+00;123384;2215;871
2021/11/03 00:00:00+00;123692;2218;873
2021/11/04 00:00:00+00;124062;2219;873
2021/11/05 00:00:00+00;124552;2224;873
2021/11/06 00:00:00+00;124954;2223;875
2021/11/07 00:00:00+00;125361;2228;875
2021/11/08 00:00:00+00;125770;2230;876
2021/11/09 00:00:00+00;126101;2229;878
2021/11/10 00:00:00+00;126607;2231;879
2021/11/11 00:00:00+00;127221;2235;879
2021/11/12 00:00:00+00;127910;2240;879
2021/11/13 00:00:00+00;128504;2243;879
2021/11/14 00:00:00+00;129007;2244;879
2021/11/15 00:00:00+00;129932;2247;879
2021/11/16 00:00:00+00;130599;2248;879
2021/11/17 00:00:00+00;131378;2252;881
2021/11/18 00:00:00+00;132250;2255;881
2021/11/19 00:00:00+00;133032;2257;883
2021/11/20 00:00:00+00;134103;2265;885
2021/11/21 00:00:00+00;134903;2266;887
2021/11/22 00:00:00+00;135716;2273;890
2021/11/23 00:00:00+00;136650;2276;892
2021/11/24 00:00:00+00;137392;2281;893
2021/11/25 00:00:00+00;138384;2282;894
2021/11/26 00:00:00+00;139152;2289;896
2021/11/27 00:00:00+00;140104;2292;897
2021/11/28 00:00:00+00;141024;2293;897
2021/11/29 00:00:00+00;141469;2296;897
2021/11/30 00:00:00+00;142245;2300;898
2021/12/01 00:00:00+00;142877;2302;898
2021/12/02 00:00:00+00;143678;2304;900
2021/12/03 00:00:00+00;144808;2306;904
2021/12/04 00:00:00+00;145619;2309;907
2021/12/05 00:00:00+00;146316;2315;909
2021/12/06 00:00:00+00;146965;2318;910
2021/12/07 00:00:00+00;147602;2322;911
2021/12/08 00:00:00+00;148311;2328;913
2021/12/09 00:00:00+00;148995;2332;920
2021/12/10 00:00:00+00;149645;2335;920
2021/12/11 00:00:00+00;150315;2338;923
2021/12/12 00:00:00+00;151043;2341;926
2021/12/13 00:00:00+00;151473;2346;929
2021/12/14 00:00:00+00;151946;2349;930
2021/12/15 00:00:00+00;152631;2351;934
2021/12/16 00:00:00+00;153131;2356;935
2021/12/17 00:00:00+00;153954;2358;937
2021/12/18 00:00:00+00;154631;2358;940
2021/12/19 00:00:00+00;155222;2360;941
2021/12/20 00:00:00+00;155769;2365;943
2021/12/21 00:00:00+00;156323;2367;943
2021/12/22 00:00:00+00;157137;2371;944
2021/12/23 00:00:00+00;157887;2372;945
2021/12/24 00:00:00+00;158737;2373;945
2021/12/25 00:00:00+00;159490;2374;947
2021/12/26 00:00:00+00;160376;2381;948
2021/12/27 00:00:00+00;161004;2387;950
2021/12/28 00:00:00+00;161608;2389;951
2021/12/29 00:00:00+00;162654;2393;952
2021/12/30 00:00:00+00;163568;2397;954
2021/12/31 00:00:00+00;164948;2400;959
2022/01/01 00:00:00+00;166361;2404;960
2022/01/02 00:00:00+00;167444;2406;960
2022/01/03 00:00:00+00;168460;2408;960
2022/01/04 00:00:00+00;170094;2413;961
2022/01/05 00:00:00+00;172352;2413;962
2022/01/06 00:00:00+00;174598;2413;962
2022/01/07 00:00:00+00;178259;2414;962
2022/01/08 00:00:00+00;180803;2420;964
2022/01/09 00:00:00+00;183277;2423;965
2022/01/10 00:00:00+00;185675;2429;966
2022/01/11 00:00:00+00;188344;2431;967
